longitude,latitude,housing_median_age,total_rooms,total_bedrooms,median_house_value
-122.23,37.88,41,880,129,452600
-122.22,37.86,21,7099,1106,358500
-122.24,37.85,52,1467,190,352100
-122.25,37.85,52,1274,235,341300
-122.25,37.85,52,1627,280,342200
-122.25,37.85,52,919,213,269700
-122.25,37.84,52,2535,489,299200
-122.25,37.84,52,3104,687,241400
-122.26,37.84,42,2555,665,226700
-122.25,37.84,52,3549,707,261100
-122.26,37.85,52,2202,434,281500
-122.26,37.85,52,3503,752,241800
-122.26,37.85,52,2491,474,213500
-122.26,37.84,52,696,191,191300
-122.26,37.85,52,2643,626,159200
-122.26,37.85,50,1120,283,140000
-122.27,37.85,52,1966,347,152500
-122.27,37.85,52,1228,293,155500
-122.26,37.84,50,2239,455,158700
-122.27,37.84,52,1503,298,162900
-122.27,37.85,40,751,184,147500
-122.27,37.85,42,1639,367,159800
-122.27,37.84,52,2436,541,113900
-122.27,37.84,52,1688,337,99700
-122.27,37.84,52,2224,437,132600
-122.28,37.85,41,535,123,107500
-122.28,37.85,49,1130,244,93800
-122.28,37.85,52,1898,421,105500
-122.28,37.84,50,2082,492,108900
-122.28,37.84,52,729,160,132000
-122.28,37.84,49,1916,447,122300
-122.28,37.84,52,2153,481,115200
-122.27,37.84,48,1922,409,110400
-122.27,37.83,49,1655,366,104900
-122.27,37.83,51,2665,574,109700
-122.27,37.83,49,1215,282,97200
-122.27,37.83,48,1798,432,104500
-122.28,37.83,52,1511,390,103900
-122.26,37.83,52,1470,330,191400
-122.26,37.83,52,2432,715,176000
-122.26,37.83,52,1665,419,155400
-122.26,37.83,51,936,311,150000
-122.26,37.84,49,713,202,118800
-122.26,37.84,52,950,202,188800
-122.26,37.83,52,1443,311,184400
-122.26,37.83,52,1656,420,182300
-122.26,37.83,50,1125,322,142500
-122.27,37.82,43,1007,312,137500
-122.26,37.82,40,624,195,187500
-122.27,37.82,40,946,375,112500
-122.27,37.82,21,896,453,171900
-122.27,37.82,43,1868,456,93800
-122.27,37.82,41,3221,853,97500
-122.27,37.82,52,1630,456,104200
-122.28,37.82,52,1170,235,87500
-122.28,37.82,52,945,243,83100
-122.28,37.82,52,1238,288,87500
-122.28,37.82,52,1489,335,85300
-122.28,37.82,52,1387,341,80300
-122.29,37.82,2,158,43,60000
-122.29,37.83,52,1121,211,75700
-122.29,37.82,49,135,29,75000
-122.29,37.81,50,760,190,86100
-122.3,37.81,52,1224,237,76100
-122.3,37.81,48,828,182,73500
-122.3,37.81,52,1010,209,78400
-122.3,37.81,48,1455,354,84400
-122.29,37.8,52,1027,244,81300
-122.3,37.81,52,572,109,85000
-122.29,37.81,46,2801,644,129200
-122.29,37.81,26,768,152,82500
-122.29,37.81,46,935,297,95200
-122.29,37.81,49,844,204,75000
-122.29,37.81,46,12,4,67500
-122.29,37.81,20,835,161,137500
-122.28,37.81,17,1237,462,177500
-122.28,37.81,36,2914,562,102100
-122.28,37.81,19,1207,243,108300
-122.29,37.81,23,1745,374,112500
-122.28,37.8,38,684,176,131300
-122.28,37.81,17,924,289,162500
-122.27,37.81,52,210,56,112500
-122.28,37.81,52,340,97,112500
-122.28,37.81,52,386,164,137500
-122.28,37.81,35,948,184,118800
-122.28,37.81,52,773,143,98200
-122.27,37.81,40,880,451,118800
-122.27,37.81,10,875,348,162500
-122.27,37.8,10,105,42,137500
-122.27,37.8,52,249,78,500001
-122.27,37.8,16,994,392,162500
-122.28,37.8,52,215,87,137500
-122.28,37.8,52,96,31,162500
-122.27,37.79,27,1055,347,187500
-122.27,37.8,39,1715,623,179200
-122.26,37.8,36,5329,2477,130000
-122.26,37.82,31,4596,1331,183800
-122.26,37.81,29,335,107,125000
-122.26,37.82,22,3682,1270,170000
-122.26,37.82,37,3633,1085,193100
-122.25,37.81,29,4656,1414,257800
-122.25,37.81,28,5806,1603,273400
-122.25,37.81,39,854,242,237500
-122.25,37.81,52,2155,701,350000
-122.26,37.81,34,5871,1914,335700
-122.24,37.82,52,1509,225,313400
-122.24,37.81,52,2026,482,268500
-122.25,37.81,52,1758,460,259400
-122.24,37.82,52,3481,751,275700
-122.25,37.82,28,3337,855,225000
-122.25,37.82,52,1424,289,262500
-122.25,37.82,32,3809,1098,218500
-122.25,37.82,26,3959,1196,255000
-122.25,37.83,52,2376,559,224100
-122.25,37.83,35,1613,428,243100
-122.25,37.83,52,1279,287,231600
-122.25,37.83,28,5022,1750,218500
-122.25,37.83,52,4190,1105,234100
-122.23,37.84,50,2515,399,327600
-122.23,37.84,47,3175,454,347600
-122.24,37.83,41,2576,406,366100
-122.24,37.85,37,334,54,335000
-122.23,37.85,52,2800,411,373600
-122.24,37.84,52,3529,574,389500
-122.24,37.85,52,2612,365,391100
-122.22,37.85,28,5287,1048,337300
-122.22,37.84,50,2935,473,295200
-122.21,37.84,44,3424,597,292300
-122.21,37.83,40,4991,674,411500
-122.2,37.84,30,2211,346,311500
-122.21,37.84,34,3038,490,325900
-122.19,37.84,18,1617,210,392600
-122.2,37.84,35,2865,460,319300
-122.21,37.83,34,5065,788,333300
-122.19,37.83,28,1326,184,335200
-122.2,37.83,26,1589,223,351200
-122.19,37.83,29,1791,271,368900
-122.19,37.82,32,1835,264,365900
-122.2,37.82,37,1229,181,366700
-122.2,37.82,39,3770,534,362800
-122.18,37.81,30,292,38,483300
-122.21,37.82,52,2375,333,331400
